id,date,title,category
15983,2017-01-30,Request to increase spending with Meridian Enterprise Office Solutions for scanning services,"Budget, Taxes & Finance"
15986,2017-01-30,Request to approve additional FY17 spending with HD Supply.,"Budget, Taxes & Finance"
16129,2017-03-13,Intent to Adopt Amendments to the 2016-17 Budget,"Budget, Taxes & Finance"
16131,2017-03-13,Request to Set a Public Hearing for the FY18 Operating Budget,"Budget, Taxes & Finance"
16133,2017-03-13,Request to Set a Public Hearing for the FY18 Real Estate Tax Rate,"Budget, Taxes & Finance"
16207,2017-04-03,Request FY17 spending with Pavement Management Services for pavement condition rating services,"Budget, Taxes & Finance"
16210,2017-04-03,Request to increase FY17 spending with Shannon Baum Signs for road sign materials,"Budget, Taxes & Finance"
16259,2017-04-17,Public Hearing on FY 2017-2018 Proposed Budget,"Budget, Taxes & Finance"
16292,2017-04-24,Set public hearing to increase cigarette tax rate,"Budget, Taxes & Finance"
16293,2017-04-24,Public Hearing for FY 2017-18 Proposed Real Estate Tax Rate,"Budget, Taxes & Finance"
16325,2017-05-08,Intent to Adopt the FY 2017-18 Operating Budget,"Budget, Taxes & Finance"
16327,2017-05-08,Intent to Adopt the Real Estate Tax Rate for FY2017-18,"Budget, Taxes & Finance"
16374,2017-05-22,"Public Hearing to Amend Chapter 6, Article 3 of the Town Code of Vienna - Cigarette Tax","Budget, Taxes & Finance"
16403,2017-06-05,"Request approval for of the fifth-year contract payment not to exceed $77,820 to New World Systems for the standard software maintenance agreement for computer-aided dispatch, law enforcement records management, and mobile data system","Budget, Taxes & Finance"
16404,2017-06-05,"Renewal of annual audit contract with Robinson, Farmer, Cox Associates PLLC","Budget, Taxes & Finance"
16407,2017-06-05,"Intent to Adopt Amendment to Chapter 6, Article 3 of the Town Code of Vienna - Cigarette Tax","Budget, Taxes & Finance"
16409,2017-06-05,"Request approval for additional FY17 spending with Double H Locates for $16,000","Budget, Taxes & Finance"
16443,2017-06-05,"Intent to Adopt Amendment to Chapter 6, Article 3 of the Town Code of Vienna - Cigarette Tax","Budget, Taxes & Finance"
16510,2017-07-10,Request award of IFB 18-03 and FY18 spending for slurry seal application as needed with Slurry Pavers,"Budget, Taxes & Finance"
16685,2017-08-21,Supplemental Invoice for Town Attorney Charges.,"Budget, Taxes & Finance"
16757,2017-09-11,Request approval for additional FY17 spending with Double H Locates,"Budget, Taxes & Finance"
16758,2017-09-11,Request approval for FY2018 spending with National Asphalt Manufacturing Corporation.,"Budget, Taxes & Finance"
16763,2017-09-11,Request appropriation of previously approved funds for Keller Brothers,"Budget, Taxes & Finance"
16764,2017-09-11,Renewal of Tyler Munis Financial System software,"Budget, Taxes & Finance"
16768,2017-09-11,Presentation of Certificate of Achievement for Excellence in Financial Reporting,"Budget, Taxes & Finance"
16867,2017-09-11,Request approval for additional FY17 spending with Double H Locates,"Budget, Taxes & Finance"
16832,2017-09-25,Request Council appropriation of FY 2016-17 encumbrance balances and carry-forward funds into the FY 2017-18 General Fund budget,"Budget, Taxes & Finance"
16833,2017-09-25,Approval of Capital Improvement Plan through 2034,"Budget, Taxes & Finance"
16915,2017-10-16,Request approval for additional FY18 spending with James River Equipment to purchase a 12’ 5000 Series Snow Blade to go with VRP #163.,"Budget, Taxes & Finance"
17031,2017-11-13,Request to award IFB 18-10 and FY18 spending for Yard Waste Disposal,"Budget, Taxes & Finance"
17211,2017-12-11,Presentation of 2017 Comprehensive Annual Financial Report (CAFR),"Budget, Taxes & Finance"
17212,2017-12-11,"Authorization for Payment of Supplemental Legal Fees to BrigliaHundley, P.C.","Budget, Taxes & Finance"
17517,2018-01-08,Approve FY19-20 VDOT Revenue Sharing Resolutions,"Budget, Taxes & Finance"
17603,2018-01-29,Public Hearing for Issuance of 2018 Bond,"Budget, Taxes & Finance"
17616,2018-01-29,Public Hearing for Issuance of 2018 Bond,"Budget, Taxes & Finance"
17715,2018-02-13,Acceptance of Bid for Bond Purchase,"Budget, Taxes & Finance"
17761,2018-02-26,Request additional FY18 spending with Broad Run,"Budget, Taxes & Finance"
17762,2018-02-26,Request additional FY18 spending with Chantilly Crushed Stone,"Budget, Taxes & Finance"
17825,2018-03-12,"Request to Set a Public Hearing on April 9, 2018 Regarding the FY 2018-19 Operating Budget","Budget, Taxes & Finance"
17827,2018-03-12,"Request to Set a Public Hearing on April 23, 2018 Regarding the FY 2018-19 Real Estate Tax Rate","Budget, Taxes & Finance"
18019,2018-04-09,Request approval for additional FY18 spending with Virginia Public Works Equipment Company,"Budget, Taxes & Finance"
18022,2018-04-09,Request award of IFB 18-13 and FY18 spending for Midlantic Marking,"Budget, Taxes & Finance"
18024,2018-04-09,Public Hearing on FY 2018-19 Proposed Budget,"Budget, Taxes & Finance"
18165,2018-04-09,Public Hearing on FY 2018-19 Proposed Budget,"Budget, Taxes & Finance"
18184,2018-04-23,Request additional FY18 spending with Arthur Construction,"Budget, Taxes & Finance"
18187,2018-04-23,Public Hearing for FY 2018-19 Proposed Real Estate Tax Rate,"Budget, Taxes & Finance"
18267,2018-05-07,Revision to General Fund Balance Policy,"Budget, Taxes & Finance"
18268,2018-05-07,Intent to Adopt the FY 2018-19 Budget,"Budget, Taxes & Finance"
18270,2018-05-07,Intent to adopt the Real Estate Tax Rate for FY 2018-19,"Budget, Taxes & Finance"
18446,2018-05-21,"Request approval for additional FY spending with Sagres Construction, Corp.","Budget, Taxes & Finance"
18556,2018-06-04,"Renewal of annual audit contract with Robinson, Farmer, Cox Associates PLLC","Budget, Taxes & Finance"
18562,2018-06-04,2018 CIP Update,"Budget, Taxes & Finance"
18700,2018-07-09,Request additional FY18 spending with Potomac Truck Center Inc.,"Budget, Taxes & Finance"
18707,2018-07-09,Supplemental Invoice for Town Attorney Charges,"Budget, Taxes & Finance"
18906,2018-08-20,Request approval for additional FY18 spending with Double H Locates,"Budget, Taxes & Finance"
19035,2018-09-17,320 Nutley St SW Performance Bond Extension Request,"Budget, Taxes & Finance"
19038,2018-09-17,"Request approval for payment not to exceed $82,156 to Tyler Technologies for the standard software maintenance agreement.","Budget, Taxes & Finance"
19236,2018-10-15,Approval of Capital Improvement Plan through 2034,"Budget, Taxes & Finance"
19310,2018-10-29,Request approval for additional FY18 spending as well as FY19 spending for utility marking with Double H Locates and Pinpoint Underground LLC,"Budget, Taxes & Finance"
19311,2018-10-29,Request Council appropriation of FY2017-18 encumbrance balances and carryforward funds into the FY2018-19 general fund budget,"Budget, Taxes & Finance"
19313,2018-10-29,Request additional FY19 spending with Arthur Construction,"Budget, Taxes & Finance"
19314,2018-10-29,Request approval for FY19 spending on de-icing salt with Mid-Atlantic Salt,"Budget, Taxes & Finance"
19336,2018-10-29,Request Council appropriation of FY2017-18 encumbrance balances and carryforward funds into the FY2018-19 general fund budget,"Budget, Taxes & Finance"
19555,2018-12-10,Presentation of 2018 Comprehensive Annual Financial Report (CAFR),"Budget, Taxes & Finance"
19559,2018-12-10,Request additional FY19 spending with Alpha Sheet Metal Inc.,"Budget, Taxes & Finance"
19627,2019-01-07,Request additional FY19 spending with Broad Run,"Budget, Taxes & Finance"
19874,2019-02-25,2018 Investment Report,"Budget, Taxes & Finance"
19968,2019-03-11,"Request to set a public hearing for April 8, 2019 regarding the FY 2019-20 operating budget","Budget, Taxes & Finance"
19970,2019-03-11,"Request to re-set a public hearing for May 13, 2019 regarding the FY 2019-20 real estate tax rate","Budget, Taxes & Finance"
19971,2019-03-11,Operating Budget Overview,"Budget, Taxes & Finance"
20174,2019-04-08,"Request to re-set a public hearing for May 13, 2019 regarding the FY 2019-20 real estate tax rate","Budget, Taxes & Finance"
20180,2019-04-08,Public Hearing on FY 2019-20 Proposed Budget,"Budget, Taxes & Finance"
20197,2019-04-08,Public Hearing on FY 2019-20 Proposed Budget,"Budget, Taxes & Finance"
20363,2019-05-13,Public Hearing regarding FY 2019-20 Proposed Real Estate Tax Rate,"Budget, Taxes & Finance"
20364,2019-05-13,Intent to adopt the Real Estate Tax Rate for FY 2019-20,"Budget, Taxes & Finance"
20365,2019-05-13,Intent to Adopt the FY 2019-20 Budget,"Budget, Taxes & Finance"
20518,2019-06-03,Request appropriation for annual audit contract with Robinson Farmer Cox Associates PLLC (year 5 of 6-year contract),"Budget, Taxes & Finance"
20680,2019-07-01,"Award of IFB 20-03 to Arthur Construction for On Call Roadway Maintenance and request FY20 spending in the amount of $260,000.00.","Budget, Taxes & Finance"
21062,2019-09-30,Request award of IFB 20-08 for Construction and Demolition Debris Disposal and request FY20 spending,"Budget, Taxes & Finance"
